NAICS Code,Kind of business,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,Furniture stores ………………………………………...…………………………………………………………………………………………………,"59,534","57,309","53,276","50,886","49,752","47,658","46,664","45,810","52,708","59,288","60,122","58,745","55,849","51,719","51,264","50,572","50,617","47,022","44,110","41,877","39,168","36,977","35,503","33,299","31,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4422,Home furnishings stores ………………………………………...…………………………………………………………………………………………………,"51,934","49,261","46,442","44,463","41,790","39,928","38,541","38,939","46,012","51,856","52,673","50,375","47,908","45,017","43,174","40,912","40,553","37,272","33,302","30,838","28,539","26,493","24,913","22,157","20,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44221,Floor covering stores …………………………………………………………………………………………………………………………………………………,"20,254","19,006","17,703","16,746","15,483","14,758","14,573","15,302","18,764","22,071","23,154","22,125","20,907","19,543","19,025","19,208","19,519","18,409","16,961","16,050","14,639","13,704","12,765","11,460","10,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44229,Other home furnishings stores …………………………………………………………………………………………………………………………………………………,"31,680","30,255","28,739","27,717","26,307","25,170","23,968","23,637","27,248","29,785","29,519","28,250","27,001","25,474","24,149","21,704","21,034","18,863","16,341","14,788","13,900","12,789","12,148","10,697","10,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442299,All other home furnishings stores ………………………………………...………………….………………………………………………………………,"29,758","28,617","27,248","26,431","25,195","24,080","22,868","22,468","25,696","28,063","27,724","26,579","25,579","24,213","22,897","20,547","19,916","17,761","15,288","13,791","12,851","11,763","11,189","9,787","9,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44314,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443141,Household appliance stores ………………………………………...…………………………………………………………………………………………………,"17,199","17,122","17,089","17,140","16,415","15,807","15,456","15,289","16,988","17,799","17,745","16,792","15,608","14,464","14,205","13,479","12,630","12,082","11,099","10,374","10,215","9,980","9,045","9,137","8,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443142,Electronics stores ………………………………………...…………………………………………………………………………………………………,"81,581","86,536","88,108","87,559","87,467","86,171","84,133","82,610","91,396","92,542","92,346","89,330","84,405","78,386","77,003","75,014","77,792","75,281","71,632","67,283","65,845","62,399","55,325","45,995","40,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
